title of work,artist name,year(s) created
Saint Barbara,Master of Sir John Fastolf,about 1430–1440
Saint Barbara with a Book and a Martyr's Palm before a Tower,Master of Jacques of Luxembourg,about 1466–1470
Saint Barbara with a Tower,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Barnabas Reading from a Book,Bedford Master,about 1440–1450
Saint Bartholomew,Unknown,18th century
Saint Bartholomew,Rembrandt Harmensz. van Rijn,1661
Saint Bartholomew with a Kneeling King and Queen,Unknown,about 1460
Saint Bartholomew with a Knife and a Book,Bedford Master,about 1440–1450
Saint Bellinus Celebrating Mass,Taddeo Crivelli,about 1469
Saint Benedict in Prayer,Taddeo Crivelli,about 1469
Saint Benedict with a Staff and a Book,Bedford Master,about 1440–1450
Saint Bernard,Unknown,about 1500
Saint Bernard,Taddeo Crivelli,about 1469
Saint Bernard's Vision of the Virgin and Child,Simon Marmion,about 1475–1480
Saint Bernardino of Siena,Taddeo Crivelli,about 1469
Saint Bernward of Hildesheim,Unknown,probably 1170s
Saint Blasius with a Crosier and a Carding Comb,Bedford Master,about 1440–1450
Saint Blessing a Donor,Unknown,about 1510–1515
Saint Catherine,Willem Vrelant,early 1460s
Saint Catherine,Willem Vrelant,early 1460s
Saint Catherine,Master of Jacques de Besançon,about 1500
Saint Catherine,Egerton Master,about 1410
Saint Catherine of Alexandria,Taddeo Crivelli,about 1469
Saint Catherine of Alexandria,Master of Sir John Fastolf,about 1430–1440
Saint Catherine of Alexandria and Twelve Scenes from Her Life,Donato d'Arezzo; Gregorio d'Arezzo,about 1330
Saint Catherine of Alexandria at the Wheel,Nicolò dell'Abate,1547–1550
Saint Catherine of Bologna,Guglielmo Giraldi,about 1469
Saint Catherine of Siena Receiving the Stigmata,Domenico Beccafumi,about 1513–1515
Saint Catherine Presenting a Kneeling Woman to the Virgin and Child,Unknown,about 1400–1410
Saint Catherine Tended by Angels,Spitz Master,about 1420
Saint Catherine with a Sword and a Book,Master of the First Prayer Book of Maximilian,about 1510–1520
"Saint Catherine, by Cima da Conegliano",Caldesi & Montecchi,1858
Saint Cecilia,Domenichino (Domenico Zampieri),about 1612–1615
Saint Cecilia,Joseph Anton Draeger,1822
Saint Cecilia Giving Alms to the Poor,Pietro da Cortona,about 1635–1640
Saint Christophe,Bisson Frères,1861
Saint Christophe à la tête retournée,Bisson Frères,1861
Saint Christopher,Domenico Campagnola,about 1520–1525
Saint Christopher,Master of Guillebert de Mets,about 1450–1455
Saint Christopher,Master of Jacques de Besançon,about 1500
Saint Christopher,Lieven van Lathem,1469
Saint Christopher and a Donor,Unknown,about 1500–1510
Saint Christopher Carrying the Christ Child,Master of Guillaume Lambert,1478
Saint Christopher Carrying the Christ Child,Spitz Master,about 1420
Saint Christopher Carrying the Christ Child,Bedford Master,about 1440–1450
Saint Christopher Carrying the Christ Child,Master of Jacques of Luxembourg,about 1466–1470
Saint Christopher Carrying the Christ Child,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Christopher Carrying the Christ Child,Master of Sir John Fastolf,about 1430–1440
Saint Christopher Carrying the Christ Child,Willem Vrelant,early 1460s
Saint Christopher Carrying the Christ Child,Unknown,about 1460
"Saint Christopher in the Lessach Thal, Carinthia",W.D. Howard & F.H. Lloyd,1865
Saint Chrysostome,Bisson Frères,1861
Saint Clara with a Monstrance,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Claudius,Master of Jacques de Besançon,about 1500
Saint Clement with an Anchor,Bedford Master,about 1440–1450
Saint Denis Carrying his Head,Bedford Master,about 1440–1450
Saint Denis Holding His Head,Master of Sir John Fastolf,about 1430–1440
Saint Dominic,Taddeo Crivelli,about 1469
Saint Dominic,Master of James IV of Scotland,about 1510–1520
Saint Dominic,Niccolò di Giacomo da Bologna,about 1386
Saint Dorothy,Unknown,about 1510–1520
Saint Edward the Confessor,Master of Sir John Fastolf,about 1430–1440
Saint Eligius Overpowering a Devil,Unknown,about 1460
Saint Elizabeth,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Elizabeth,Unknown,about 1480–1490
Saint Erasmus,Master of Sir John Fastolf,about 1430–1440
Saint Eutrope Healing a Person,Lieven van Lathem,1469
Saint Fiacre,Unknown,about 1510–1515
Saint Fiacre and Houpdée,Lieven van Lathem,1469
Saint Francis,Master of Sir John Fastolf,about 1430–1440
Saint Francis (recto); Dead Christ (verso),Pontormo (Jacopo Carucci),about 1517–1518
Saint Francis in Prayer,Jacob Pynas,about 1630
Saint Francis Receiving the Stigmata,Gerrit Pietersz.,1608
Saint Gatian Preaching,Lieven van Lathem,1469
Saint Geneviève,Unknown,about 1480–1490
Saint Geneviève with a Candle and a Book,Bedford Master,about 1440–1450
Saint Genovefa,Master of Jacques de Besançon,about 1500
Saint George,Dosso Dossi (Giovanni di Niccolò de Lutero),about 1513–1515
Saint George and the Dragon,Lieven van Lathem,about 1471
Saint George and the Dragon,Lewis Carroll,"June 26, 1875"
Saint George and the Dragon,Master of Guillebert de Mets,about 1450–1455
Saint George and the Dragon,Bedford Master,about 1440–1450
Saint George and the Dragon,Willem Vrelant,early 1460s
Saint George and the Dragon,Master of Sir John Fastolf,about 1430–1440
Saint George and the Dragon,Willem Vrelant,early 1460s
Saint George and the Dragon,Egerton Master,about 1410
Saint George with the Arms of Speth,Unknown,1517
Saint George à cheval,Bisson Frères,1861
Saint George à pied,Bisson Frères,1861
Saint Germain,Bedford Master,about 1440–1450
Saint Germain as a Bishop,Bedford Master,about 1440–1450
Saint Germain l'Auxerrois,Bisson Frères,1854
Saint Germain l'Auxerrois,Bisson Frères,about 1852–1855
Saint Ginés de la Jara,"Luisa Roldán (called ""La Roldana""); Tomás de Los Arcos",1690s
Saint Gregory,Taddeo Crivelli,about 1469
Saint Hedwig Caring for the Sick; Saint Hedwig Caring for Prisoners,Unknown,1353
Saint Hedwig Feeding the Imprisoned and Caring for Pilgrims; Saint Hedwig Feeding the Poor and the Infirm,Unknown,1353
Saint Hedwig Leaving Bloody Footprints in the Snow; The Self-Flagellation of Saint Hedwig,Unknown,1353
Saint Hedwig Listening to a Reading; Saint Hedwig Praying,Unknown,1353
Saint Hedwig of Silesia with Duke Ludwig I of Liegnitz and Brieg and Duchess Agnes,Unknown,1353
Saint Hedwig Prophesying the Sufferings of Procurator Luthod; Saint Hedwig Discovering that a Nun Has a Hedgehog,Unknown,1353
Saint Hedwig Receiving Shoes Miraculously; Abbot Gunther of Leubus Presenting Shoes to Saint Hedwig,Unknown,1353
Saint Hedwig Reducing the Feudal Tax of Her Subjects; Saint Hedwig Assuring the Defense of Widows and Orphans,Unknown,1353
Saint Hedwig Refusing to Drink Wine; Saint Hedwig Praying before an Altar,Unknown,1353
Saint Hedwig Rescuing a Man from Hanging; Saint Hedwig Freeing the Hands of a Woman that Became Glued to a Millstone Staff Because She Worked on a Sunday,Unknown,1353
Saint Hedwig Saving a Choking Nun and Curing a Woman and Nuns of Blindness; Saint Hedwig Asking for the Life of a Man Condemned to Be Hung,Unknown,1353
Saint Hubert,Lieven van Lathem,1469
Saint James as a Pilgrim,Master of Jacques of Luxembourg,about 1466–1470
Saint James as a Pilgrim,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint James as a Pilgrim with a Purse and a Staff,Bedford Master,about 1440–1450
Saint James the Greater,Willem Vrelant,early 1460s
Saint Jean Baptiste Enfant,Juan Laurent,1880–1886
Saint Jerome,Willem Vrelant,early 1460s
Saint Jerome,Master of the Getty Epistles,about 1528–1530
Saint Jerome Extracting a Thorn from a Lion's Paw,Master of the Murano Gradual,second quarter of 15th century
Saint Jerome in His Study,Master of Sir John Fastolf,about 1430–1440
Saint Jerome in the Desert,Taddeo Crivelli,about 1469
Saint Jerome in the Wilderness,Ercole de'Roberti,about 1475
Saint Jerome Reading,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint John,Unknown,late 14th–early 15th century
Saint John,Unknown,late 13th century
Saint John,Unknown,about 1420
Saint John,Unknown,about 1504–1505
Saint John,Unknown,about 1480–1520
Saint John,Unknown,shortly after 1053
Saint John Eats the Book Received from the Angel,Unknown,about 1255–1260
Saint John Handing a Letter to Messenger,Master of Jean de Mandeville,about 1360–1370
Saint John on Patmos,Lieven van Lathem,1469
Saint John on Patmos,Master of the Lübeck Bible,about 1510–1520
Saint John on Patmos,Egerton Master,about 1410
Saint John on Patmos,Georges Trubert,about 1480–1490
Saint John on Patmos,Master of Jean de Mandeville,about 1360–1370
Saint John on Patmos,Master of Jacques of Luxembourg,about 1466–1470
Saint John on Patmos,Unknown,early 16th century
Saint John on Patmos,Unknown,about 1255–1260
Saint John on Patmos,Unknown,1544
Saint John Praying to the Angel,Unknown,about 1255–1260
Saint John the Baptist,Willem Vrelant,early 1460s
Saint John the Baptist,Luca di Tommè,1380s
Saint John the Baptist,Egerton Master,about 1410
Saint John the Baptist,Giovanni Agostino da Lodi,about 1500
Saint John the Baptist,Willem Vrelant,early 1460s
Saint John the Baptist,Unknown,about 1510–1520
Saint John the Baptist,Taddeo Crivelli,about 1469
Saint John the Baptist,Unknown; Juan Conchillos Falcó,about 1740
Saint John the Baptist,Agnolo Bronzino,about 1542–1545
Saint John the Baptist in the Wilderness,Unknown,about 1410
Saint John the Baptist Pointing to the Lamb of God,Master of Jacques of Luxembourg,about 1466–1470
Saint John the Baptist Preaching,Unknown,about 1475
Saint John the Baptist Preaching and Christ with the Apostles,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint John the Baptist with the Lamb of God,Bedford Master,about 1440–1450
Saint John the Baptist with the Lamb of God on a Book,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint John the Evangelist,Unknown,about 1490
Saint John the Evangelist,Egerton Master,about 1410
Saint John the Evangelist,Willem Vrelant,early 1460s
Saint John the Evangelist,Master of Jacques de Besançon,about 1500
Saint John the Evangelist,Unknown,about 1120–1140
Saint John the Evangelist,Malnazar; Aghap'ir,1637–1638
Saint John the Evangelist,Master of the Lee Hours,about 1450–1455
Saint John the Evangelist,Master of Sir John Fastolf,about 1430–1440
Saint John the Evangelist,Unknown,about 1430
Saint John the Evangelist,Frans Hals,about 1625
Saint John the Evangelist,Mesrop of Khizan,1615
Saint John the Evangelist and an Angel,El Greco (Domenico Theotokopoulos),about 1600
Saint John the Evangelist Consoled by an Elder and by an Angel Holding a Scroll,Unknown,about 1255–1260
Saint John the Evangelist Dictating,Unknown,early 13th century
Saint John the Evangelist Dictating,Unknown,1386
Saint John the Evangelist surrounded by Seven Angels,Unknown,about 1340–1350
Saint John the Evangelist with the Poisoned Chalice,Bedford Master,about 1440–1450
Saint John the Evangelist Writing,Unknown,about 1340–1350
"Saint John the Evangelist, by Domenichino",Caldesi & Montecchi,1858
Saint Joseph Leaning on a Table,Sassoferrato (Giovanni Battista Salvi),about 1650
Saint Joseph with the Christ Child,Gennaro Laudato; Giuseppe Sanmartino,1790s
Saint Julianus and his Wife,Master of James IV of Scotland,about 1510–1520
Saint Jérôme,Bisson Frères,1861
Saint Jérôme,Bisson Frères,1861
Saint Jérôme (Le Grand),Bisson Frères,1858
Saint Jérôme dans le Gout d'Albert Durer,Bisson Frères,1858
Saint Jérôme dans sa cellule,Bisson Frères,1861
Saint Jérôme en pénitence,Bisson Frères,1861
Saint Lawrence,Willem Vrelant,early 1460s
Saint Lawrence,Master of Jacques de Besançon,about 1500
Saint Lawrence with a Book and a Gridiron,Master of Jacques of Luxembourg,about 1466–1470
Saint Lawrence with a Gridiron,Bedford Master,about 1440–1450
Saint Leonard,Master of Sir John Fastolf,about 1430–1440
Saint Leonard Liberating a Child from Prison,Unknown,about 1460
Saint Lucy,Fra Paolino (Paolo del Signoraccio),about 1525–1530
Saint Luke,Mesrop of Khizan,1615
Saint Luke,Unknown,about 1120–1140
Saint Luke,Unknown,1386
Saint Luke,Simone Martini,early 1330s
Saint Luke,Unknown,about 1480–1520
Saint Luke,Unknown,shortly after 1053
Saint Luke,Unknown,about 1504–1505
Saint Luke,Unknown,early 13th century
Saint Luke,Unknown,late 13th century
Saint Luke,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Luke,Malnazar; Aghap'ir,1637–1638
Saint Luke,Master of the Lee Hours,about 1450–1455
Saint Luke,Master of Jacques of Luxembourg,about 1466–1470
Saint Luke,Master of Jean de Mandeville,about 1360–1370
Saint Luke,Unknown,early 16th century
Saint Luke,Egerton Master,about 1410
Saint Luke,Bedford Master,about 1440–1450
Saint Luke Painting an Image of the Virgin,Bedford Master,about 1440–1450
Saint Margaret,Master of Sir John Fastolf,about 1430–1440
Saint Margaret,Unknown,about 1420–1430
Saint Margaret,Willem Vrelant,early 1460s
Saint Margaret,Willem Vrelant,early 1460s
Saint Margaret,Lieven van Lathem,1469
Saint Margaret and a Dragon,Bedford Master,about 1440–1450
Saint Margaret and the Dragon,Master of Jacques de Besançon,about 1500
Saint Mark,Egerton Master,about 1410
Saint Mark,Unknown,1386
Saint Mark,Master of Jean de Mandeville,about 1360–1370
Saint Mark,Bedford Master,about 1440–1450
Saint Mark,Unknown,early 13th century
Saint Mark,Unknown,about 1504–1505
Saint Mark,Unknown,shortly after 1053
Saint Mark,Bedford Master,about 1440–1450
Saint Mark,Malnazar; Aghap'ir,1637–1638
Saint Mark,Unknown,about 1325–1345
Saint Mark,Dunois Master,1455
Saint Mark,Unknown,early 16th century
Saint Mark,Unknown,late 13th century
Saint Mark,Mesrop of Khizan,1615
Saint Mark,Egerton Master,about 1410
Saint Mark,Master of Jacques of Luxembourg,about 1466–1470
Saint Mark,Unknown,about 1120–1140
Saint Mark,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Mark,Unknown,about 1480–1520
Saint Martin Dividing his Cloak,Bedford Master,about 1440–1450
Saint Martin Dividing his Cloak,Lieven van Lathem,1469
Saint Martin Dividing His Cloak with a Beggar,Lorenzo Lotto,about 1530
Saint Mary Magdalene,Master of Jacques de Besançon,about 1500
Saint Mary Magdalene and the Virgin,Master of the Chronique scandaleuse,about 1500
Saint Mary Magdalene at the Sepulchre,Giovanni Girolamo Savoldo,1530s
Saint Mary of Egypt,Unknown,about 1480–1490
Saint Matthew,Unknown,about 1504–1505
Saint Matthew,Unknown,late 13th century
Saint Matthew,Bedford Master,about 1440–1450
Saint Matthew,Correggio (Antonio Allegri),about 1523
Saint Matthew,Dunois Master,1455
Saint Matthew,Unknown,about 1120–1140
Saint Matthew,Unknown,about 1480–1520
Saint Matthew,Unknown,early 16th century
Saint Matthew,Master of Jacques of Luxembourg,about 1466–1470
Saint Matthew,Unknown,shortly after 1053
Saint Matthew,Egerton Master,about 1410
Saint Matthew,Malnazar; Aghap'ir,1637–1638
Saint Matthew,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Matthew,Ghoukas,1583
Saint Matthew,Mesrop of Khizan,1615
Saint Matthew,Unknown,1386
Saint Matthew,Master of the Lee Hours,about 1450–1455
Saint Matthew,Egerton Master,about 1410
Saint Matthew Seated,Unknown,early 13th century
Saint Matthew Seated,Bedford Master,about 1440–1450
Saint Matthew with a Book,Bedford Master,about 1440–1450
Saint Matthew Writing His Gospel,Carlo Dolci,1640s
Saint Matthias,Egerton Master,about 1410
Saint Michael,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Michael,Lieven van Lathem,1469
Saint Michael and the Dragon,Unknown,early 16th century
Saint Michael and the Dragon,Willem Vrelant,early 1460s
Saint Michael and the Dragon,Master of Sir John Fastolf,about 1430–1440
Saint Michael Battling the Devil,Unknown,about 1460
Saint Michael Battling the Devil,Bedford Master,about 1440–1450
Saint Michael Battling the Devil,Master of Jacques of Luxembourg,about 1466–1470
Saint Michael Battling the Dragon,Unknown,probably 1170s
Saint Nicholas,Egerton Master,about 1410
Saint Nicholas,Taddeo Crivelli,about 1469
Saint Nicholas,Master of Jacques de Besançon,about 1500
Saint Nicholas Rescuing Three Youths from a Tub,Master of the Lübeck Bible,about 1510–1520
Saint Nicholas Rescuing Three Youths from a Tub,Bedford Master,about 1440–1450
Saint Nicholas Rescuing Three Youths from a Tub,Willem Vrelant,early 1460s
Saint Nicholas Rescuing Three Youths from a Tub,Master of Jacques of Luxembourg,about 1466–1470
"Saint Nicolas, Goussainville",Eugène Atget,1921
Saint Ossanus,Guglielmo Giraldi,about 1469
Saint Paul,Master of the Getty Epistles,about 1528–1530
Saint Paul,Giuseppe Maria Crespi,about 1720–1730
Saint Paul,Unknown,about 1612
Saint Paul,Giovanni Girolamo Savoldo,1533
"Saint Paul and Sergius, Roman Proconsul in Cyprus",Malnazar; Aghap'ir,1637–1638
Saint Paul Rending His Garments,Raphael (Raffaello Sanzio),about 1515–1516
Saint Paul Speaking to the Romans,Master of Jean de Mandeville,about 1360–1370
Saint Paul with an Open Book,Bedford Master,about 1440–1450
Saint Paul à Londres,Friedrich Salathé; Unknown; Bougeard; Lemercier et Cie.; Goupil & Cie.; Hector Bossange; Nöel-Marie-Paymal Lerebours,1842
Saint Paul à Londres,Dusacq et Cie.; Friedrich Salathé; Unknown; F. Chardon Ainé; Rittner & Goupil; Hector Bossange; Dusacq et Cie.,1864–1869
Saint Peter Handing a Letter to a Messenger,Master of Jean de Mandeville,about 1360–1370
Saint Peter Martyr,Taddeo Crivelli,about 1469
Saint Peter with a Key,Bedford Master,about 1440–1450
Saint Philip,Master of the Rimini Altarpiece,about 1420–1430
Saint Sebastian,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Sebastian,Master of Jacques de Besançon,about 1500
Saint Sebastian,Unknown,about 1520–1530
Saint Sebastian,Bedford Master,about 1440–1450
Saint Sebastian Tended by an Angel,Anthony van Dyck,about 1630–1632
Saint Sebastian Thrown into the Cloaca Maxima,Ludovico Carracci,1612
Saint Stephen,Master of Jacques de Besançon,about 1500
Saint Stephen,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Sulpice (No. 94),Édouard Baldus,1860s
Saint Sébastien attaché à un arbre,Bisson Frères,1861
Saint Sébastien attaché à une colonne,Bisson Frères,1861
Saint Thomas with a Book,Bedford Master,about 1440–1450
Saint Veronica,Lieven van Lathem,about 1471
Saint Veronica Displaying the Sudarium,Master of Guillebert de Mets,about 1450–1455
Saint Victor with a Sword,Bedford Master,about 1440–1450
Saint Vincent Liberating a Man from Prison,Unknown,about 1460
Saint Vincent with a Book and a Palm,Bedford Master,about 1440–1450
"Saint with Ladder, Patzcuaro, Mexico",Paul Strand,1933
Saint Wolfgang,Francis Frith,about 1864
Saint Wolfgang,Francis Frith,about 1864
Sainte Anne et la sainte Vierge,Bisson Frères,1861
Sainte Clotilde (No. 83),Édouard Baldus,1860s
Sainte Marie della Salute,Carlo Ponti,1860–1870
Sainte Marie della Salute,Carlo Ponti,1860–1870
Sainte Véronique,Bisson Frères,1861
Saloon Steamers on the Saint Laurence [sic],Unknown,1861–1903
"Seitz, l'Histoire de Saint Joseph d'après le Carton",Unknown,1859
September Calendar Page; Saint Michael,Bedford Master,about 1440–1450
"Sheet of Studies for ""The Martyrdom of Saint George"" (recto); Studies of a House, Tree, Heads, Artist's Tools, Decorative Motifs, and Computations (verso)",Paolo Veronese (Paolo Caliari),1566
St. Jean de Luz. - La plage,Edmond de Labrador,about 1870
St. Jean de Luz. Procession de la Fête-Dieu,Edmond de Labrador,about 1870
St. Jean la Boucherie,Unknown,negative about 1860s
St. Jean à Lyon,Friedrich Salathé; Unknown; Bougeard; Goupil et Vibert; Hector Bossange; Nöel-Marie-Paymal Lerebours,1842–1845
"St. Jerome (recto); Kneeling Male Nude, with His Head and Shoulders Leaning Back (verso)",Juan del Castillo,about 1630–1650
St. Jerome Hearing the Trumpet of the Last Judgment,Vicente Carducho,about 1626–1632
St. Jerome Hearing the Trumpet of the Last Judgment,Antonio Castillo y Saavedra,about 1645–1650
St. John the Baptist,Master of the Harburger Altar,about 1515
"St. Laurent, Rouen",William J. Stillman,about 1861
St. Maurice à Vienne,Vogel; Unknown; Tarlé; Goupil et Vibert; Hector Bossange; Nöel-Marie-Paymal Lerebours,1842–1845
St. Peter's - Rome,"Robert Eaton; Mc Lean, Melhuish, Napper & Co.; Mc Lean, Melhuish, Napper & Co.",about 1855
"St. Pierre, Caen",William J. Stillman,about 1861
Standing Female Saint,Martin Schongauer,1490
Standing Saint,Francesco Morone,about 1510
"Standing Saint (recto); Studies of Christ at the Column, a Nude from Behind, and Various Figures (verso)",Filippino Lippi,about 1482
Studies of the Madonna and Child and of Heads (recto); Madonna and Child with Saint John Seated in a Landscape (verso),Michel Corneille the Younger,about 1670–1690
Study for Saint Peter,Giovanni Girolamo Savoldo,about 1533
Study for the Figure of the Infant Saint John the Baptist,Fra Bartolommeo (Baccio della Porta),about 1509
Study for the Head of Saint Joseph (recto); Two Studies of Legs (verso),Andrea del Sarto,about 1526–1527
Study of a Franciscan Monk (Possibly Saint Francis),Cerano (Giovanni Battista Crespi),about 1600
Study of a Male Figure (Empedocles and/or Saint Roch),Rosso Fiorentino (Giovanni Battista di Jacopo di Gasparre),about 1538–1540
Study of the Martyrdom of Saint Peter Martyr,Pordenone (Giovanni Antonio de'Sacchis),1526–1528
The Adoration of the Magi with Saint Anthony Abbot,Franco-Flemish Master,about 1410–1420
The Apparition of the Virgin and Child to Saint Louis of France,Mariano Salvador Maella,about 1780s
The Arrival of Saint John on Patmos,Unknown,about 1255–1260
The Assumption of the Virgin and Saint Thomas Receiving the Virgin's Girdle,Unknown,about 1460
The Assumption of the Virgin; Initial G: Saint Thomas Receiving the Virgin's Girdle,Master of the Brussels Initials,between about 1389 and 1400
The Beheading of Saint John the Baptist,Unknown,about 1475
The Beheading of Saint John the Baptist,Lieven van Lathem,1469
The Conversion of Saint Paul,Taddeo Zuccaro,1558/1559–1566
The Conversion of Saint Paul,Wolf Huber,1531
The Conversion of St. Paul,Christoph Daniel Schenck,1685
The Denial of Saint Peter,Simon Bening,about 1525–1530
The Descent from the Cross with Saint Francis and another Friar,Jan de Bisschop; Jacopo Ligozzi,about 1669
The Family of Berthold VI; The Marriage of Saint Hedwig and Heinrich,Unknown,1353
"The Inn, Saint Gilgen, with Portrait of the Widow Schöndorfer",Francis Frith,about 1864
"The Inn, Saint Gilgen, with Portrait of the Widow Schöndorfer",Francis Frith,about 1864
"The Interior of Saint Bavo, Haarlem",Pieter Jansz. Saenredam,1628
The Liberation of Saint Peter,Laurent de La Hyre,about 1647
The Lion of Saint Mark,Unknown,about 1420–1430
"The Madonna and Child and Saint Joseph, by F. Francia",Caldesi & Montecchi,1858
The Martyrdom of Saint Andrew,Lieven van Lathem,1469
The Martyrdom of Saint Andrew,Unknown,about 1410
The Martyrdom of Saint Andrew,Charles Le Brun,1646–1647
The Martyrdom of Saint Apollonia,Lieven van Lathem,1469
The Martyrdom of Saint Catherine,Lieven van Lathem,1469
The Martyrdom of Saint Justina,Paolo Veronese (Paolo Caliari),1575
The Martyrdom of Saint Lawrence,Lieven van Lathem,1469
The Martyrdom of Saint Lawrence,Pacino di Bonaguida,about 1340
The Martyrdom of Saint Sebastian,Unknown,about 1460
The Martyrdom of Saint Sebastian,Taddeo Crivelli,about 1469
The Martyrdom of Saint Sebastian,Simon Bening,about 1535–1540
The Martyrdom of Saint Sebastian,Master of Sir John Fastolf,about 1430–1440
The Martyrdom of Saint Sebastian,Master of Jacques of Luxembourg,about 1466–1470
The Martyrdom of Saint Sebastian,Lieven van Lathem,1469
The Martyrdom of Saint Thomas Becket,Master of Sir John Fastolf,about 1430–1440
The Martyrdom of Saint Thomas Becket,Willem Vrelant,early 1460s
The Martyrdom of Saint Thomas Becket,Willem Vrelant,early 1460s
The Mass of Saint Gregory,Master of the Lübeck Bible,about 1510–1520
The Mass of Saint Gregory,Gerard Horenbout,about 1500
The Mass of Saint Gregory,Master of Sir John Fastolf,about 1430–1440
The Mass of Saint Gregory,Simon Bening,about 1535–1540
The Mass of Saint Gregory,Unknown,about 1480–1490
The Mass of Saint Gregory the Great,Adriaen Ysenbrandt,about 1510–1550
The Miracles of Saint Francis of Paola,Peter Paul Rubens,about 1627–1628
The Miraculous Communion of Saint Catherine of Siena,Domenico Beccafumi,about 1513–1515
The Mystic Marriage of Saint Catherine (after Correggio),Federico Zuccaro,about 1595
The Opening of Saint Hedwig's Tomb; The Translation of Saint Hedwig's Relics,Unknown,1353
The Penitent St. Peter,Christoph Daniel Schenck,1685
The Pietà; Saint John the Evangelist,Willem Vrelant,early 1460s
The Pledge of Chastity; Saint Hedwig Assisting the Poor and Sick,Unknown,1353
The Rest on the Flight into Egypt with Saint John the Baptist,Fra Bartolommeo (Baccio della Porta),about 1509
"The Right Reverend Connop Thirlwall, Lord Bishop of Saint David's.",Ernest H. Edwards,1868
"The Sick, the Leprous, and the Lame Praying at Saint Hedwig's Tomb; People Coming to Visit Saint Hedwig's Tomb",Unknown,1353
The Stigmatization of Saint Francis,Unknown,about 1480–1490
The Stigmatization of Saint Francis,Taddeo Crivelli,about 1469
The Stigmatization of Saint Francis,Master of the Lübeck Bible,about 1510–1520
The Stoning of Saint Stephen,Bartholomeus Breenbergh,1632
The Stoning of Saint Stephen,Unknown,about 1475
The Stoning of Saint Stephen,Lieven van Lathem,1469
The Stoning of Saint Stephen,Egerton Master,about 1410
The Stoning of Saint Stephen,Bedford Master,about 1440–1450
The Stoning of Saint Stephen,Willem Vrelant,early 1460s
The Swooning Virgin Supported by Three Holy Women and Three Studies of Men (recto); Saint George and the Dragon (verso),Cesare da Sesto,about 1510
The Tartars Carrying the Head of Heinrich before Castle Liegnitz; Saint Hedwig Seeing in a Dream Her Son's Soul Carried to Heaven,Unknown,1353
The Temptation of Saint Anthony,Lelio Orsi,1570s
The Temptation of Saint Anthony,Lieven van Lathem,1469
The Virgin and Child with Saint Anne,Willem Vrelant,early 1460s
The Virgin and Child with Saint Anne,Master of James IV of Scotland,about 1510–1520
The Virgin and Child with Saint Anne,Lieven van Lathem,1469
The Virgin and Child with Saint Joseph,Unknown,about 1490
The Vision of Saint Bruno,Pier Francesco Mola,about 1660
The Vision of Saint Francis of Paola,Bartolomé Esteban Murillo,about 1670
The Way to Calvary and Saint Veronica with the Sudarium,Master of James IV of Scotland,about 1510–1520
The Youthful Saint John the Baptist Seated in a Landscape (recto); Unidentified Figure Composition (Dido and Aeneas?) (verso),Bartolomé Esteban Murillo,about 1655
Virgin and Child with Saint John the Baptist,Guido Reni,about 1640–1642
Virgin and Child with Saint John the Baptist and Mary Magdalene,Parmigianino (Francesco Mazzola),about 1535–1540
Vision of Saint Gaetano Thiene,Ubaldo Gandolfi,about 1775
"While Saint Hedwig Sleeps, a Candle Falls onto Her Book but Does Not Burn; Saint Hedwig Prophesying the Death of Heinrich",Unknown,1353
