title of work,artist name,year(s) created
Initial B: The Arrest of Saint Agnes,Unknown,about 1320–1325
Initial C: Christ in Majesty between the Virgin Mary and Saint John the Evangelist,Unknown,about 1300
Initial C: Saint Benedict Blessing Maurus,Unknown,about 1420
Initial C: Saint Lawrence,Master of the Brussels Initials,between about 1389 and 1400
Initial C: Saint Lawrence,Master of the Brussels Initials,between about 1389 and 1400
Initial C: Saint Nicholas,Master of Gerona,late 13th century
Initial C: The Emperor of Constantinople Enshrining the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470
Initial C: The Martyrdom of Saint Andrew,Unknown,about 1320–1325
Initial C: The Martyrdom of Saint Thomas Becket,Unknown,about 1320–1325
Initial D: A Kneeling Saint in Prayer,Unknown,about 1300
Initial D: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial D: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial D: A Seated Saint,Bute Master,text and illumination about 1285
Initial D: Saint Anthony Raising a Dead Man,Master of the Brussels Romuléon,about 1465–1470
Initial D: Saint Catherine,Master of the Brussels Initials,between about 1389 and 1400
Initial D: Saint Jerome,Unknown,about 1280–1290
Initial D: Saint Jerome with Scenes of the Life of Christ,Unknown,about 1250–1262
Initial D: Saint John the Baptist,Cosmè Tura,about 1470–1480
Initial D: Saint John the Baptist,Matteo da Milano,about 1520
"Initial D: Saint John the Baptist, cutting from a gradual",Unknown,about 1500
Initial D: Saint Lucy,Master of the Brussels Initials,between about 1389 and 1400
"Initial D: Saint Peter, cutting from an antiphonal",Maestro Daddesco,about 1331–1334
Initial D: The Martyrdom of Saint Andrew,Unknown,begun after 1234–completed before 1262
Initial D: The Naming of Saint John the Baptist,Master of the Brussels Initials,between about 1389 and 1400
Initial E: A Female Saint (Mary?) with a Book and Flowers; Initial A: The Annunciation,Unknown,about 1300
Initial E: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial E: A Saint Holding a Scroll; Initial L: People in Prayer before an Altar,Bute Master,text and illumination about 1285
Initial E: David Praying; Initial D: A Female Saint Praying,Bute Master,text and illumination about 1285
Initial E: Saint Anthony Raising Three Men Killed by Lions,Master of the Brussels Romuléon,about 1465–1470
Initial E: Saint James the Greater,Master of the Brussels Initials,between about 1389 and 1400
Initial E: Saint Jerome in His Study,Master of the Birago Hours,about 1470–1480
Initial E: Saint John the Evangelist,Master B.F.,early 16th century
Initial E: Saint Margaret and a Dragon,Master of the Llangattock Hours,1450s
Initial E: Saint Matthew,Master of the Brussels Initials,between about 1389 and 1400
Initial E: Saint Paul,Master of the Brussels Initials,between about 1389 and 1400
Initial E: Saint Peter,Master of the Brussels Initials,between about 1389 and 1400
"Initial E: Saint Peter, leaf from an antiphonal",Lippo Vanni,early 1340s
Initial E: Saint Sebastian,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial E: Saint Stephen,Master of the Brussels Initials,between about 1389 and 1400
Initial F: Saint Benedict Blessing a Group of Monks,Unknown,about 1260–1270
Initial F: Saint Jerome,Unknown,about 1270
Initial F: Saint Luke,Unknown,about 1250–1262
Initial F: Saint Luke with the Head of His Symbol,Unknown,about 1280–1290
Initial F: Saint Michael and the Dragon,Unknown,about 1260–1270
"Initial F: The Archangel Saint Michael, cutting from an antiphonal",Master of the Deruta and Salerno Missals,about 1290–1300
Initial G: Saint Agatha,Master of the Brussels Initials,between about 1389 and 1400
Initial G: Saint Barbara,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial G: Saint Blaise,Master of the Murano Gradual,about 1450–1460
Initial G: Saint Catherine,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial G: Saint Francis,Master of the Brussels Initials,between about 1389 and 1400
Initial G: Saint George and the Dragon,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial G: Saint George and the Dragon,Master of the Llangattock Hours,1450s
Initial G: Saint Margaret,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial G: Saint Peter,Unknown,about 1300
Initial G: Saint Thomas Becket,Master of the Brussels Initials,between about 1389 and 1400
Initial G: The Assumption of Saint Mary Magdalene,Niccolò di Giacomo da Bologna,about 1392–1402
Initial G: The Stigmatization of St. Francis,Rinaldo da Siena,about 1275
"Initial G: The Virgin, Saint Elizabeth, and the Infants John the Baptist and Christ",Unknown,about 1300
Initial H: Saint Jerome,Unknown,about 1280–1290
Initial H: Saint Martin Dividing His Cloak,Unknown,about 1260–1270
Initial H: Saint Peter Enthroned with a Key and a Book,Unknown,about 1320–1325
Initial H: Saint Stephen,Master of the Golden Bull,about 1405
Initial H: The Conversion of Saint Paul,Unknown,about 1320–1325
Initial I: A Martyr Saint,Lippo Vanni,third quarter of 14th century
Initial I: A Saint,Bute Master,text and illumination about 1285
Initial I: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial I: Christ and Saint John the Evangelist,Unknown,about 1280–1290
Initial I: Saint Anthony of Padua,Master of the Brussels Initials,between about 1389 and 1400
Initial I: Saint Augustine,Master of the Brussels Initials,between about 1389 and 1400
Initial I: Saint Dominic Enshrined,Jacobellus of Salerno,about 1270
