title,artist,date_display,year_sort,century,circa,supplied_title,context
"Il Redentore coi simboli degli Evangelisti, la Trasfigurazione e S. Apollinare. [The Redeemer with the symbols of the Evangelists, the Transfiguration of Saint Apollinare.]",Fratelli Alinari,about 1890–1920,1890,19,true,false,
Inital D: A Partially Nude Saint Wrings his Hands,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial A: Saint Adrian,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial A: Saint Anthony Saving Five Children from Wolves,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial A: Saint John Kneeling in Prayer before his Apocalyptic Vision of Christ Enthroned,Unknown,about 1260–1270,1260,13,true,false,
Initial A: Saint John Sleeping and an Angel with a Trumpet,Unknown,about 1280–1290,1280,13,true,false,
Initial A: Saint John Sleeping and Angel with a Trumpet,Unknown,about 1250–1262,1250,13,true,false,
"Initial A: Saint John the Baptist and the Messiah, cutting from a gradual",Master of the Burke Saint John the Baptist and the Messiah,about 1400–1450,1400,15,true,false,
Initial A: Saint John the Evangelist,Stefan Lochner,about 1450,1450,15,true,false,
Initial A: The Vision of Saint John of Christ Enthroned and David Playing the Harp,Unknown,begun after 1234–completed before 1262,1234,13,false,false,
Initial B: A Female Saint,Unknown,about 1300,1300,14,true,false,
Initial B: A Nimbed Man Wearing a Hairshirt (Saint John the Baptist?),Unknown,about 1300,1300,14,true,false,
Initial B: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial B: Saint Nicholas,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial B: The Arrest of Saint Agnes,Unknown,about 1320–1325,1320,14,true,false,
Initial C: Christ in Majesty between the Virgin Mary and Saint John the Evangelist,Unknown,about 1300,1300,14,true,false,
Initial C: Saint Benedict Blessing Maurus,Unknown,about 1420,1420,15,true,false,
Initial C: Saint Lawrence,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial C: Saint Nicholas,Master of Gerona,late 13th century,1250,13,true,false,
Initial C: The Emperor of Constantinople Enshrining the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial C: The Martyrdom of Saint Andrew,Unknown,about 1320–1325,1320,14,true,false,
Initial C: The Martyrdom of Saint Thomas Becket,Unknown,about 1320–1325,1320,14,true,false,
Initial D: A Kneeling Saint in Prayer,Unknown,about 1300,1300,14,true,false,
Initial D: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial D: A Seated Saint,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial D: Saint Anthony Raising a Dead Man,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial D: Saint Catherine,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial D: Saint Jerome,Unknown,about 1280–1290,1280,13,true,false,
Initial D: Saint Jerome with Scenes of the Life of Christ,Unknown,about 1250–1262,1250,13,true,false,
Initial D: Saint John the Baptist,Cosmè Tura,about 1470–1480,1470,15,true,false,
Initial D: Saint John the Baptist,Matteo da Milano,about 1520,1520,16,true,false,
"Initial D: Saint John the Baptist, cutting from a gradual",Unknown,about 1500,1500,16,true,false,
Initial D: Saint Lucy,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
"Initial D: Saint Peter, cutting from an antiphonal",Maestro Daddesco,about 1331–1334,1331,14,true,false,
Initial D: The Martyrdom of Saint Andrew,Unknown,begun after 1234–completed before 1262,1234,13,false,false,
Initial D: The Naming of Saint John the Baptist,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial E: A Female Saint (Mary?) with a Book and Flowers; Initial A: The Annunciation,Unknown,about 1300,1300,14,true,false,
Initial E: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial E: A Saint Holding a Scroll; Initial L: People in Prayer before an Altar,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial E: David Praying; Initial D: A Female Saint Praying,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial E: Saint Anthony Raising Three Men Killed by Lions,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial E: Saint James the Greater,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial E: Saint Jerome in His Study,Master of the Birago Hours,about 1470–1480,1470,15,true,false,
Initial E: Saint John the Evangelist,Master B.F.,early 16th century,1550,16,true,false,
Initial E: Saint Margaret and a Dragon,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial E: Saint Matthew,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial E: Saint Paul,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial E: Saint Peter,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
"Initial E: Saint Peter, leaf from an antiphonal",Lippo Vanni,early 1340s,1340,14,true,false,
Initial E: Saint Sebastian,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial E: Saint Stephen,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial F: Saint Benedict Blessing a Group of Monks,Unknown,about 1260–1270,1260,13,true,false,
Initial F: Saint Jerome,Unknown,about 1270,1270,13,true,false,
Initial F: Saint Luke,Unknown,about 1250–1262,1250,13,true,false,
Initial F: Saint Luke with the Head of His Symbol,Unknown,about 1280–1290,1280,13,true,false,
Initial F: Saint Michael and the Dragon,Unknown,about 1260–1270,1260,13,true,false,
"Initial F: The Archangel Saint Michael, cutting from an antiphonal",Master of the Deruta and Salerno Missals,about 1290–1300,1290,13,true,false,
Initial G: Saint Agatha,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial G: Saint Barbara,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial G: Saint Blaise,Master of the Murano Gradual,about 1450–1460,1450,15,true,false,
Initial G: Saint Catherine,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial G: Saint Francis,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial G: Saint George and the Dragon,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial G: Saint George and the Dragon,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial G: Saint Margaret,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial G: Saint Peter,Unknown,about 1300,1300,14,true,false,
Initial G: Saint Thomas Becket,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial G: The Assumption of Saint Mary Magdalene,Niccolò di Giacomo da Bologna,about 1392–1402,1392,14,true,false,
Initial G: The Stigmatization of St. Francis,Rinaldo da Siena,about 1275,1275,13,true,false,
"Initial G: The Virgin, Saint Elizabeth, and the Infants John the Baptist and Christ",Unknown,about 1300,1300,14,true,false,
Initial H: Saint Jerome,Unknown,about 1280–1290,1280,13,true,false,
Initial H: Saint Martin Dividing His Cloak,Unknown,about 1260–1270,1260,13,true,false,
Initial H: Saint Peter Enthroned with a Key and a Book,Unknown,about 1320–1325,1320,14,true,false,
Initial H: Saint Stephen,Master of the Golden Bull,about 1405,1405,15,true,false,
Initial H: The Conversion of Saint Paul,Unknown,about 1320–1325,1320,14,true,false,
Initial I: A Martyr Saint,Lippo Vanni,third quarter of 14th century,1350,14,true,false,
Initial I: A Saint,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial I: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial I: Christ and Saint John the Evangelist,Unknown,about 1280–1290,1280,13,true,false,
Initial I: Saint Anthony of Padua,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial I: Saint Augustine,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial I: Saint Dominic Enshrined,Jacobellus of Salerno,about 1270,1270,13,true,false,
Initial I: Saint James with Christ above,Unknown,about 1280–1290,1280,13,true,false,
Initial I: Saint James with Christ above,Unknown,about 1250–1262,1250,13,true,false,
Initial I: Saint John as the Eagle,Unknown,about 1170,1170,12,true,false,
Initial I: Saint John on Patmos,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial I: Saint John the Baptist,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial I: Saint John the Baptist in the Wilderness,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial I: Saint John the Evangelist,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial I: Saint John the Evangelist,Unknown,about 1260–1270,1260,13,true,false,
Initial I: Saint John the Evangelist in a Vat of Boiling Oil,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
"Initial I: Saint John the Evangelist, cutting from a Book of Homilies",Gaddiani Master,about 1150–1200,1150,12,true,false,
Initial I: Saint John with God above,Unknown,about 1250–1262,1250,13,true,false,
Initial I: Saint Jude,Unknown,about 1170,1170,12,true,false,
Initial I: Saint Luke,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial I: Saint Luke,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial I: Saint Mark,Unknown,about 1250–1262,1250,13,true,false,
