title,artist,date_display,year_sort,century,circa,supplied_title,context
Initial V: Saint Anthony Abbot,Unknown,about 1420,1420,15,true,false,
Initial V: Saint Apollonia,Georges Trubert,about 1480–1490,1480,15,true,false,
Initial V: Saint Apollonia with a Book and Tongs,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial V: Saint Bernard,Unknown,after 1460,1460,15,false,false,
Initial V: Saint Catherine,Georges Trubert,about 1480–1490,1480,15,true,false,
Initial V: Saint Catherine Holding a Sword over a King,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial V: Saint Jerome,Unknown,about 1280–1290,1280,13,true,false,
Initial V: Saint John the Evangelist,Unknown,about 1320–1325,1320,14,true,false,
"Initial V: Saint Placidus, cutting from an antiphonal",Don Silvestro dei Gherarducci,about 1385–1390,1385,14,true,false,
Initial V: The Virgin and Child with Saint Anne,Master of the Llangattock Hours,1450s,1450,15,true,false,
"Insect, English Walnut, Saint John's Wort, and Crayfish",Joris Hoefnagel; Georg Bocskay,1561–1562; illumination added 1591–1596,1561,16,false,false,
Invention et translation du corps de Saint Antoine,Dreux Jean; Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Jacques de Lalaing Arriving at a Joust with the Counts of Maine and Saint Pol,Master of the Getty Lalaing,about 1530,1530,16,true,false,
Jacques de Lalaing Kneeling before the Counts of Maine and Saint Pol,Master of the Getty Lalaing,about 1530,1530,16,true,false,
January Calendar Page; Saint Paul,Bedford Master,about 1440–1450,1440,15,true,false,
Joachim and Saint Anne before the High Priest,Unknown,about 1190–1200,1190,12,true,false,
June Calendar Page; Saint John the Baptist,Bedford Master,about 1440–1450,1440,15,true,false,
Jérusalem. Vallée de Josaphat. Tombeau de Saint Jacques,Auguste Salzmann; Louis Désiré Blanquart-Evrard,negative 1854; print 1856,1854,19,false,false,
"Landing at a Portage, Saint Laurence [sic]",Alexander Henderson,about 1870,1870,19,true,false,
Landscape with the Temptation of Saint Anthony,Roelandt Savery,1617,1617,17,false,false,
"Madonna and Child and Saint John, by P. Pesello",Caldesi & Montecchi,1858,1858,19,false,false,
"Madonna and Child with a Male Saint, Catherine of Alexandria and a Donor",Michelangelo di Pietro Membrini,about 1496,1496,15,true,false,
Madonna and Child with St. John the Baptist,Oscar Gustave Rejlander,about 1860,1860,19,true,false,
Madonna and Child with the Infant Saint John the Baptist,Giovanni Lanfranco,about 1630–1632,1630,17,true,false,
"Madonna with Infant and Saint John, by F. Bartolomeo",Robert Howlett,1858,1858,19,false,false,
Marriage of Saint Catherine by Cima da Conegliano,Caldesi & Montecchi,1858,1858,19,false,false,
Murillo. L'enfant Jesus et St. Jean. Les enfants a la coquille (au Musee du Prado),Juan Laurent,1875,1875,19,false,false,
Mystic Marriage of Saint Catherine,Bartolomeo Biscaino,about 1655,1655,17,true,false,
November Calendar Page; Saint Catherine,Bedford Master,about 1440–1450,1440,15,true,false,
Nuns Praying over the Body of Saint Hedwig; The Burial of Saint Hedwig,Unknown,1353,1353,14,false,false,
Papal Messengers Bringing Documents Concerning Saint Hedwig's Canonization from Clement IV; The Reception of the News of Saint Hedwig's Canonization,Unknown,1353,1353,14,false,false,
"Raphaël, la Dispute du Saint Sacrément (fresque du Vatican)",James Anderson,1859,1859,19,false,false,
"Raphaël, la Délivrance de Saint Pierre (fresque du Vatican)",James Anderson,1859,1859,19,false,false,
"Raphaël, Sainte Cécile. Bologne. gravure",James Anderson,1859,1859,19,false,false,
Saint Adrian Armed with a Sword and an Anvil,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Agnes (recto); Figure Studies (verso),Adam Elsheimer,about 1605,1605,17,true,false,
Saint Andrew,Master H.B.,about 1530,1530,16,true,false,
Saint Andrew,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Andrew,Masaccio (Tommaso di Giovanni Guidi),1426,1426,15,false,false,
Saint Andrew,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Andrew with a Cross,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Anne and the Virgin Mary as a Child,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Anne Teaching the Virgin to Read,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Anthony,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Anthony,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Anthony Abbot,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Anthony Abbot,Taddeo Crivelli,about 1469,1469,15,true,false,
"Saint Anthony Abbot Blessing the Animals, the Poor, and the Sick",Master of St. Veronica,about 1400–1410,1400,15,true,false,
Saint Anthony Constraining a Devil,Unknown,about 1460,1460,15,true,false,
Saint Anthony Giving his Belongings to the Poor; Anthony Tormented by Demons; Anthony Burying Paul in the Desert; The Death and Burial of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Saint Anthony of Padua,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Anthony of Padua,Unknown,about 1480–1490,1480,15,true,false,
Saint Anthony of Padua,Master of James IV of Scotland,about 1510–1520,1510,16,true,false,
Saint Anthony of Padua Preaching,Unknown,about 1460,1460,15,true,false,
Saint Anthony the Abbot,Andrea della Robbia,about 1510–1515,1510,16,true,false,
Saint Anthony with an Ax,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Anthony with Bells and a Pig,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Antoine,Bisson Frères,1861,1861,19,false,false,
Saint Apollonia,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Apollonia with a Book and Tongs,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Augustine,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Augustine in his Study Trampling the Heretics,Philippe de Champaigne,about 1642,1642,17,true,false,
Saint Avia,Unknown,about 1480–1490,1480,15,true,false,
Saint Barbara,Unknown,about 1480–1490,1480,15,true,false,
Saint Barbara,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Barbara,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Barbara,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Barbara with a Book and a Martyr's Palm before a Tower,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Barbara with a Tower,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Barnabas Reading from a Book,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Bartholomew,Unknown,18th century,1750,18,true,false,
Saint Bartholomew,Rembrandt Harmensz. van Rijn,1661,1661,17,false,false,
Saint Bartholomew with a Kneeling King and Queen,Unknown,about 1460,1460,15,true,false,
Saint Bartholomew with a Knife and a Book,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Bellinus Celebrating Mass,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Benedict in Prayer,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Benedict with a Staff and a Book,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Bernard,Unknown,about 1500,1500,16,true,false,
Saint Bernard,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Bernard's Vision of the Virgin and Child,Simon Marmion,about 1475–1480,1475,15,true,false,
Saint Bernardino of Siena,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Bernward of Hildesheim,Unknown,probably 1170s,1170,12,true,false,
Saint Blasius with a Crosier and a Carding Comb,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Blessing a Donor,Unknown,about 1510–1515,1510,16,true,false,
Saint Catherine,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Catherine,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Catherine,Egerton Master,about 1410,1410,15,true,false,
Saint Catherine of Alexandria,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Catherine of Alexandria,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Catherine of Alexandria and Twelve Scenes from Her Life,Donato d'Arezzo; Gregorio d'Arezzo,about 1330,1330,14,true,false,
Saint Catherine of Alexandria at the Wheel,Nicolò dell'Abate,1547–1550,1547,16,false,false,
Saint Catherine of Bologna,Guglielmo Giraldi,about 1469,1469,15,true,false,
Saint Catherine of Siena Receiving the Stigmata,Domenico Beccafumi,about 1513–1515,1513,16,true,false,
Saint Catherine Presenting a Kneeling Woman to the Virgin and Child,Unknown,about 1400–1410,1400,15,true,false,
Saint Catherine Tended by Angels,Spitz Master,about 1420,1420,15,true,false,
Saint Catherine with a Sword and a Book,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
"Saint Catherine, by Cima da Conegliano",Caldesi & Montecchi,1858,1858,19,false,false,
Saint Cecilia,Domenichino (Domenico Zampieri),about 1612–1615,1612,17,true,false,
Saint Cecilia,Joseph Anton Draeger,1822,1822,19,false,false,
Saint Cecilia Giving Alms to the Poor,Pietro da Cortona,about 1635–1640,1635,17,true,false,
Saint Christophe,Bisson Frères,1861,1861,19,false,false,
Saint Christophe à la tête retournée,Bisson Frères,1861,1861,19,false,false,
Saint Christopher,Domenico Campagnola,about 1520–1525,1520,16,true,false,
Saint Christopher,Master of Guillebert de Mets,about 1450–1455,1450,15,true,false,
Saint Christopher,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Christopher,Lieven van Lathem,1469,1469,15,false,false,
Saint Christopher and a Donor,Unknown,about 1500–1510,1500,16,true,false,
Saint Christopher Carrying the Christ Child,Master of Guillaume Lambert,1478,1478,15,false,false,
Saint Christopher Carrying the Christ Child,Spitz Master,about 1420,1420,15,true,false,
Saint Christopher Carrying the Christ Child,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Christopher Carrying the Christ Child,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Christopher Carrying the Christ Child,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Christopher Carrying the Christ Child,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Christopher Carrying the Christ Child,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Christopher Carrying the Christ Child,Unknown,about 1460,1460,15,true,false,
"Saint Christopher in the Lessach Thal, Carinthia",W.D. Howard & F.H. Lloyd,1865,1865,19,false,false,
Saint Chrysostome,Bisson Frères,1861,1861,19,false,false,
Saint Clara with a Monstrance,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Claudius,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Clement with an Anchor,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Denis Carrying his Head,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Denis Holding His Head,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Dominic,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Dominic,Master of James IV of Scotland,about 1510–1520,1510,16,true,false,
Saint Dominic,Niccolò di Giacomo da Bologna,about 1386,1386,14,true,false,
Saint Dorothy,Unknown,about 1510–1520,1510,16,true,false,
Saint Edward the Confessor,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Eligius Overpowering a Devil,Unknown,about 1460,1460,15,true,false,
Saint Elizabeth,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Elizabeth,Unknown,about 1480–1490,1480,15,true,false,
Saint Erasmus,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Eutrope Healing a Person,Lieven van Lathem,1469,1469,15,false,false,
Saint Fiacre,Unknown,about 1510–1515,1510,16,true,false,
Saint Fiacre and Houpdée,Lieven van Lathem,1469,1469,15,false,false,
Saint Francis,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Francis (recto); Dead Christ (verso),Pontormo (Jacopo Carucci),about 1517–1518,1517,16,true,false,
Saint Francis in Prayer,Jacob Pynas,about 1630,1630,17,true,false,
Saint Francis Receiving the Stigmata,Gerrit Pietersz.,1608,1608,17,false,false,
Saint Gatian Preaching,Lieven van Lathem,1469,1469,15,false,false,
Saint Geneviève,Unknown,about 1480–1490,1480,15,true,false,
Saint Geneviève with a Candle and a Book,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Genovefa,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint George,Dosso Dossi (Giovanni di Niccolò de Lutero),about 1513–1515,1513,16,true,false,
Saint George and the Dragon,Lieven van Lathem,about 1471,1471,15,true,false,
Saint George and the Dragon,Lewis Carroll,"June 26, 1875",1875,19,false,false,
Saint George and the Dragon,Master of Guillebert de Mets,about 1450–1455,1450,15,true,false,
Saint George and the Dragon,Bedford Master,about 1440–1450,1440,15,true,false,
Saint George and the Dragon,Willem Vrelant,early 1460s,1460,15,true,false,
Saint George and the Dragon,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint George and the Dragon,Egerton Master,about 1410,1410,15,true,false,
Saint George with the Arms of Speth,Unknown,1517,1517,16,false,false,
Saint George à cheval,Bisson Frères,1861,1861,19,false,false,
Saint George à pied,Bisson Frères,1861,1861,19,false,false,
Saint Germain,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Germain as a Bishop,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Germain l'Auxerrois,Bisson Frères,1854,1854,19,false,false,
Saint Germain l'Auxerrois,Bisson Frères,about 1852–1855,1852,19,true,false,
Saint Ginés de la Jara,"Luisa Roldán (called ""La Roldana""); Tomás de Los Arcos",1690s,1690,17,true,false,
Saint Gregory,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Hedwig Caring for the Sick; Saint Hedwig Caring for Prisoners,Unknown,1353,1353,14,false,false,
Saint Hedwig Feeding the Imprisoned and Caring for Pilgrims; Saint Hedwig Feeding the Poor and the Infirm,Unknown,1353,1353,14,false,false,
Saint Hedwig Leaving Bloody Footprints in the Snow; The Self-Flagellation of Saint Hedwig,Unknown,1353,1353,14,false,false,
Saint Hedwig Listening to a Reading; Saint Hedwig Praying,Unknown,1353,1353,14,false,false,
Saint Hedwig of Silesia with Duke Ludwig I of Liegnitz and Brieg and Duchess Agnes,Unknown,1353,1353,14,false,false,
Saint Hedwig Prophesying the Sufferings of Procurator Luthod; Saint Hedwig Discovering that a Nun Has a Hedgehog,Unknown,1353,1353,14,false,false,
Saint Hedwig Receiving Shoes Miraculously; Abbot Gunther of Leubus Presenting Shoes to Saint Hedwig,Unknown,1353,1353,14,false,false,
Saint Hedwig Reducing the Feudal Tax of Her Subjects; Saint Hedwig Assuring the Defense of Widows and Orphans,Unknown,1353,1353,14,false,false,
Saint Hedwig Refusing to Drink Wine; Saint Hedwig Praying before an Altar,Unknown,1353,1353,14,false,false,
Saint Hedwig Rescuing a Man from Hanging; Saint Hedwig Freeing the Hands of a Woman that Became Glued to a Millstone Staff Because She Worked on a Sunday,Unknown,1353,1353,14,false,false,
Saint Hedwig Saving a Choking Nun and Curing a Woman and Nuns of Blindness; Saint Hedwig Asking for the Life of a Man Condemned to Be Hung,Unknown,1353,1353,14,false,false,
Saint Hubert,Lieven van Lathem,1469,1469,15,false,false,
Saint James as a Pilgrim,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint James as a Pilgrim,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint James as a Pilgrim with a Purse and a Staff,Bedford Master,about 1440–1450,1440,15,true,false,
Saint James the Greater,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Jean Baptiste Enfant,Juan Laurent,1880–1886,1880,19,false,false,
Saint Jerome,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Jerome,Master of the Getty Epistles,about 1528–1530,1528,16,true,false,
Saint Jerome Extracting a Thorn from a Lion's Paw,Master of the Murano Gradual,second quarter of 15th century,1450,15,true,false,
Saint Jerome in His Study,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Jerome in the Desert,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Jerome in the Wilderness,Ercole de'Roberti,about 1475,1475,15,true,false,
Saint Jerome Reading,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint John,Unknown,late 14th–early 15th century,1450,15,true,false,
Saint John,Unknown,late 13th century,1250,13,true,false,
Saint John,Unknown,about 1420,1420,15,true,false,
Saint John,Unknown,about 1504–1505,1504,16,true,false,
Saint John,Unknown,about 1480–1520,1480,15,true,false,
Saint John,Unknown,shortly after 1053,1053,11,true,false,
Saint John Eats the Book Received from the Angel,Unknown,about 1255–1260,1255,13,true,false,
Saint John Handing a Letter to Messenger,Master of Jean de Mandeville,about 1360–1370,1360,14,true,false,
Saint John on Patmos,Lieven van Lathem,1469,1469,15,false,false,
Saint John on Patmos,Master of the Lübeck Bible,about 1510–1520,1510,16,true,false,
Saint John on Patmos,Egerton Master,about 1410,1410,15,true,false,
Saint John on Patmos,Georges Trubert,about 1480–1490,1480,15,true,false,
Saint John on Patmos,Master of Jean de Mandeville,about 1360–1370,1360,14,true,false,
Saint John on Patmos,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint John on Patmos,Unknown,early 16th century,1550,16,true,false,
Saint John on Patmos,Unknown,about 1255–1260,1255,13,true,false,
Saint John on Patmos,Unknown,1544,1544,16,false,false,
Saint John Praying to the Angel,Unknown,about 1255–1260,1255,13,true,false,
Saint John the Baptist,Willem Vrelant,early 1460s,1460,15,true,false,
Saint John the Baptist,Luca di Tommè,1380s,1380,14,true,false,
Saint John the Baptist,Egerton Master,about 1410,1410,15,true,false,
Saint John the Baptist,Giovanni Agostino da Lodi,about 1500,1500,16,true,false,
Saint John the Baptist,Unknown,about 1510–1520,1510,16,true,false,
Saint John the Baptist,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint John the Baptist,Unknown; Juan Conchillos Falcó,about 1740,1740,18,true,false,
Saint John the Baptist,Agnolo Bronzino,about 1542–1545,1542,16,true,false,
Saint John the Baptist in the Wilderness,Unknown,about 1410,1410,15,true,false,
Saint John the Baptist Pointing to the Lamb of God,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint John the Baptist Preaching,Unknown,about 1475,1475,15,true,false,
Saint John the Baptist Preaching and Christ with the Apostles,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint John the Baptist with the Lamb of God,Bedford Master,about 1440–1450,1440,15,true,false,
Saint John the Baptist with the Lamb of God on a Book,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint John the Evangelist,Unknown,about 1490,1490,15,true,false,
Saint John the Evangelist,Egerton Master,about 1410,1410,15,true,false,
Saint John the Evangelist,Willem Vrelant,early 1460s,1460,15,true,false,
Saint John the Evangelist,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint John the Evangelist,Unknown,about 1120–1140,1120,12,true,false,
Saint John the Evangelist,Malnazar; Aghap'ir,1637–1638,1637,17,false,false,
Saint John the Evangelist,Master of the Lee Hours,about 1450–1455,1450,15,true,false,
Saint John the Evangelist,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint John the Evangelist,Unknown,about 1430,1430,15,true,false,
Saint John the Evangelist,Frans Hals,about 1625,1625,17,true,false,
Saint John the Evangelist,Mesrop of Khizan,1615,1615,17,false,false,
Saint John the Evangelist and an Angel,El Greco (Domenico Theotokopoulos),about 1600,1600,17,true,false,
Saint John the Evangelist Consoled by an Elder and by an Angel Holding a Scroll,Unknown,about 1255–1260,1255,13,true,false,
Saint John the Evangelist Dictating,Unknown,early 13th century,1250,13,true,false,
Saint John the Evangelist Dictating,Unknown,1386,1386,14,false,false,
Saint John the Evangelist surrounded by Seven Angels,Unknown,about 1340–1350,1340,14,true,false,
Saint John the Evangelist with the Poisoned Chalice,Bedford Master,about 1440–1450,1440,15,true,false,
Saint John the Evangelist Writing,Unknown,about 1340–1350,1340,14,true,false,
"Saint John the Evangelist, by Domenichino",Caldesi & Montecchi,1858,1858,19,false,false,
Saint Joseph Leaning on a Table,Sassoferrato (Giovanni Battista Salvi),about 1650,1650,17,true,false,
Saint Joseph with the Christ Child,Gennaro Laudato; Giuseppe Sanmartino,1790s,1790,18,true,false,
Saint Julianus and his Wife,Master of James IV of Scotland,about 1510–1520,1510,16,true,false,
Saint Jérôme,Bisson Frères,1861,1861,19,false,false,
Saint Jérôme (Le Grand),Bisson Frères,1858,1858,19,false,false,
Saint Jérôme dans le Gout d'Albert Durer,Bisson Frères,1858,1858,19,false,false,
Saint Jérôme dans sa cellule,Bisson Frères,1861,1861,19,false,false,
Saint Jérôme en pénitence,Bisson Frères,1861,1861,19,false,false,
Saint Lawrence,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Lawrence,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Lawrence with a Book and a Gridiron,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Lawrence with a Gridiron,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Leonard,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Leonard Liberating a Child from Prison,Unknown,about 1460,1460,15,true,false,
Saint Lucy,Fra Paolino (Paolo del Signoraccio),about 1525–1530,1525,16,true,false,
Saint Luke,Mesrop of Khizan,1615,1615,17,false,false,
Saint Luke,Unknown,about 1120–1140,1120,12,true,false,
Saint Luke,Unknown,1386,1386,14,false,false,
Saint Luke,Simone Martini,early 1330s,1330,14,true,false,
Saint Luke,Unknown,about 1480–1520,1480,15,true,false,
Saint Luke,Unknown,shortly after 1053,1053,11,true,false,
Saint Luke,Unknown,about 1504–1505,1504,16,true,false,
Saint Luke,Unknown,early 13th century,1250,13,true,false,
Saint Luke,Unknown,late 13th century,1250,13,true,false,
Saint Luke,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Luke,Malnazar; Aghap'ir,1637–1638,1637,17,false,false,
Saint Luke,Master of the Lee Hours,about 1450–1455,1450,15,true,false,
Saint Luke,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Luke,Master of Jean de Mandeville,about 1360–1370,1360,14,true,false,
Saint Luke,Unknown,early 16th century,1550,16,true,false,
Saint Luke,Egerton Master,about 1410,1410,15,true,false,
Saint Luke,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Luke Painting an Image of the Virgin,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Margaret,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Margaret,Unknown,about 1420–1430,1420,15,true,false,
Saint Margaret,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Margaret,Lieven van Lathem,1469,1469,15,false,false,
Saint Margaret and a Dragon,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Margaret and the Dragon,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Mark,Egerton Master,about 1410,1410,15,true,false,
Saint Mark,Unknown,1386,1386,14,false,false,
Saint Mark,Master of Jean de Mandeville,about 1360–1370,1360,14,true,false,
Saint Mark,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Mark,Unknown,early 13th century,1250,13,true,false,
Saint Mark,Unknown,about 1504–1505,1504,16,true,false,
Saint Mark,Unknown,shortly after 1053,1053,11,true,false,
Saint Mark,Malnazar; Aghap'ir,1637–1638,1637,17,false,false,
Saint Mark,Unknown,about 1325–1345,1325,14,true,false,
Saint Mark,Dunois Master,1455,1455,15,false,false,
Saint Mark,Unknown,early 16th century,1550,16,true,false,
Saint Mark,Unknown,late 13th century,1250,13,true,false,
Saint Mark,Mesrop of Khizan,1615,1615,17,false,false,
Saint Mark,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Mark,Unknown,about 1120–1140,1120,12,true,false,
Saint Mark,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Mark,Unknown,about 1480–1520,1480,15,true,false,
Saint Martin Dividing his Cloak,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Martin Dividing his Cloak,Lieven van Lathem,1469,1469,15,false,false,
Saint Martin Dividing His Cloak with a Beggar,Lorenzo Lotto,about 1530,1530,16,true,false,
Saint Mary Magdalene,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Mary Magdalene and the Virgin,Master of the Chronique scandaleuse,about 1500,1500,16,true,false,
Saint Mary Magdalene at the Sepulchre,Giovanni Girolamo Savoldo,1530s,1530,16,true,false,
Saint Mary of Egypt,Unknown,about 1480–1490,1480,15,true,false,
Saint Matthew,Unknown,about 1504–1505,1504,16,true,false,
Saint Matthew,Unknown,late 13th century,1250,13,true,false,
Saint Matthew,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Matthew,Correggio (Antonio Allegri),about 1523,1523,16,true,false,
Saint Matthew,Dunois Master,1455,1455,15,false,false,
Saint Matthew,Unknown,about 1120–1140,1120,12,true,false,
Saint Matthew,Unknown,about 1480–1520,1480,15,true,false,
Saint Matthew,Unknown,early 16th century,1550,16,true,false,
Saint Matthew,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Matthew,Unknown,shortly after 1053,1053,11,true,false,
Saint Matthew,Egerton Master,about 1410,1410,15,true,false,
Saint Matthew,Malnazar; Aghap'ir,1637–1638,1637,17,false,false,
Saint Matthew,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Matthew,Ghoukas,1583,1583,16,false,false,
Saint Matthew,Mesrop of Khizan,1615,1615,17,false,false,
Saint Matthew,Unknown,1386,1386,14,false,false,
Saint Matthew,Master of the Lee Hours,about 1450–1455,1450,15,true,false,
Saint Matthew Seated,Unknown,early 13th century,1250,13,true,false,
Saint Matthew Seated,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Matthew with a Book,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Matthew Writing His Gospel,Carlo Dolci,1640s,1640,17,true,false,
Saint Matthias,Egerton Master,about 1410,1410,15,true,false,
Saint Michael,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Michael,Lieven van Lathem,1469,1469,15,false,false,
Saint Michael and the Dragon,Unknown,early 16th century,1550,16,true,false,
Saint Michael and the Dragon,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Michael and the Dragon,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
Saint Michael Battling the Devil,Unknown,about 1460,1460,15,true,false,
Saint Michael Battling the Devil,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Michael Battling the Devil,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
Saint Michael Battling the Dragon,Unknown,probably 1170s,1170,12,true,false,
Saint Nicholas,Egerton Master,about 1410,1410,15,true,false,
Saint Nicholas,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Nicholas,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Nicholas Rescuing Three Youths from a Tub,Master of the Lübeck Bible,about 1510–1520,1510,16,true,false,
Saint Nicholas Rescuing Three Youths from a Tub,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Nicholas Rescuing Three Youths from a Tub,Willem Vrelant,early 1460s,1460,15,true,false,
Saint Nicholas Rescuing Three Youths from a Tub,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
"Saint Nicolas, Goussainville",Eugène Atget,1921,1921,20,false,false,
Saint Ossanus,Guglielmo Giraldi,about 1469,1469,15,true,false,
Saint Paul,Master of the Getty Epistles,about 1528–1530,1528,16,true,false,
Saint Paul,Giuseppe Maria Crespi,about 1720–1730,1720,18,true,false,
Saint Paul,Unknown,about 1612,1612,17,true,false,
Saint Paul,Giovanni Girolamo Savoldo,1533,1533,16,false,false,
"Saint Paul and Sergius, Roman Proconsul in Cyprus",Malnazar; Aghap'ir,1637–1638,1637,17,false,false,
